BudgetName: DevOps Bill
DateDownloaded: 09/12/2026
Date,Actual,Budget,Variance ($),Variance (%)
2026-09,$0.00,$1.00,$1.00,100.00%
2026-08,$0.00,$1.00,$1.00,100.00%
2026-07,$0.00,$1.00,$1.00,99.80%
2026-06,$0.00,$1.00,$1.00,100.00%
2026-05,$0.00,$1.00,$1.00,100.00%
2026-04,$0.00,$1.00,$1.00,100.00%
2026-03,$0.00,$1.00,$1.00,100.00%
2026-02,$0.00,$1.00,$1.00,100.00%
2026-01,$0.00,$1.00,$1.00,100.00%
2025-12,$0.00,$1.00,$1.00,100.00%
2025-11,$0.00,$1.00,$1.00,100.00%
2025-10,$0.00,$1.00,$1.00,100.00%
2025-09,$0.23,$1.00,$0.77,77.20%
